Duration,Date,Pulse,Maxpulse,Calories
60,12/1/2020,110,130,409.1
60,12/2/2020,117,145,479
60,12/3/2020,103,135,340
45,12/5/2020,109,175,282.4
45,12/5/2020,109,175,282.4
60,12/6/2020,102,127,300
60,12/7/2020,110,136,374
45,12/8/2020,104,134,253.3
30,12/9/2020,109,133,195.1
60,12/10/2020,98,124,269
60,12/11/2020,103,147,329.3
60,12/12/2020,100,120,250.7
60,12/12/2020,100,120,250.7
60,12/13/2020,104,132,379.3
60,12/14/2020,98,123,275
60,12/15/2020,98,120,215.2
60,12/16/2020,100,120,300
45,12/17/2020,90,112,
60,12/14/2020,103,123,323
45,12/15/2020,97,125,243
60,12/16/2020,108,131,364.2
45,12/17/2020,100,119,282
60,12/14/2020,130,101,300
45,12/15/2020,105,132,246
60,12/16/2020,102,126,334.5
60,12/17/2020,100,120,250
60,20201226,92,118,241
60,12/1/2020,103,132,
60,12/2/2020,100,132,280
60,12/3/2020,102,129,380.3
60,12/4/2020,92,115,243
45,12/5/2020,90,112,180.1
60,12/6/2020,101,124,299
60,12/7/2020,93,113,223
60,12/8/2020,107,136,361
60,12/9/2020,114,140,415
60,12/10/2020,102,127,300
60,12/11/2020,100,120,300
60,12/12/2020,100,120,300
45,12/12/2020,104,129,266
45,12/13/2020,90,112,180.1
60,12/14/2020,98,126,286
60,12/15/2020,100,122,329.4
60,12/16/2020,111,138,400
60,12/17/2020,111,131,397
60,12/14/2020,99,119,273
60,12/15/2020,109,153,387.6
45,12/16/2020,111,136,300
45,12/17/2020,108,129,298
60,12/1/2020,111,139,397.6
60,12/2/2020,107,136,380.2
80,12/3/2020,123,146,643.1
60,12/4/2020,106,130,263
60,12/5/2020,118,151,486
30,12/6/2020,136,175,238
60,12/7/2020,121,146,450.7
60,12/8/2020,118,121,413
45,12/9/2020,115,144,305
20,12/10/2020,153,172,226.4
45,12/11/2020,123,152,321
210,12/12/2020,108,160,1376
160,12/12/2020,110,137,1034.4
160,12/13/2020,109,135,853
45,12/14/2020,118,141,341
20,12/15/2020,110,130,131.4
180,12/16/2020,90,130,800.4
150,12/17/2020,105,135,873.4
150,12/14/2020,107,130,816
20,12/15/2020,106,136,110.4
300,12/16/2020,108,143,1500.2
150,12/17/2020,97,129,1115
60,12/14/2020,109,153,387.6
90,12/15/2020,100,127,700
150,12/16/2020,97,127,953.2
45,12/17/2020,114,146,304
90,12/1/2020,98,125,563.2
45,12/2/2020,105,134,251
45,12/3/2020,110,141,300
120,12/4/2020,100,130,500.4
270,12/5/2020,100,131,1729
30,12/6/2020,159,182,319.2
45,12/7/2020,149,169,344
30,12/8/2020,103,139,151.1
120,12/9/2020,100,130,500
45,12/10/2020,100,120,225.3
30,12/11/2020,151,170,300
45,12/12/2020,102,136,234
120,12/12/2020,100,157,1000.1
45,12/13/2020,129,103,242
20,12/14/2020,83,107,50.3
180,12/15/2020,101,127,600.1
45,12/16/2020,107,137,
30,12/17/2020,90,107,105.3
15,12/14/2020,80,100,50.5
20,12/15/2020,150,171,127.4
20,12/16/2020,151,168,229.4
30,12/17/2020,95,128,128.2
25,12/14/2020,152,168,244.2
30,12/15/2020,109,131,188.2
90,12/16/2020,93,124,604.1
20,12/17/2020,95,112,77.7
90,12/1/2020,90,110,500
90,12/2/2020,90,100,500
90,12/3/2020,90,100,500.4
30,12/4/2020,92,108,92.7
30,12/5/2020,93,128,124
180,12/6/2020,90,120,800.3
30,12/7/2020,90,120,86.2
90,12/8/2020,90,120,500.3
210,12/9/2020,137,184,1860.4
60,12/10/2020,102,124,325.2
45,12/11/2020,107,124,275
15,12/12/2020,124,139,124.2
45,12/12/2020,100,120,225.3
60,12/13/2020,108,131,367.6
60,12/14/2020,108,151,351.7
60,12/15/2020,116,141,443
60,12/16/2020,97,122,277.4
60,12/17/2020,105,125,
60,12/14/2020,103,124,332.7
30,12/15/2020,112,137,193.9
45,12/16/2020,100,120,100.7
60,12/17/2020,119,169,336.7
60,12/14/2020,107,127,344.9
60,12/15/2020,111,151,368.5
60,12/16/2020,98,122,271
60,12/17/2020,97,124,275.3
60,,109,127,382
90,,99,125,466.4
60,,114,151,384
60,,104,134,342.5
60,,107,138,357.5
60,,103,133,335
60,,106,132,327.5
60,,103,136,339
20,,136,156,189
45,,117,143,317.7
45,,115,137,318
45,,113,138,308
20,,141,162,222.4
60,,108,135,390
60,,97,127,
45,,100,120,250.4
45,,122,149,335.4
60,,136,170,470.2
45,,106,126,270.8
60,,107,136,400
60,,112,146,361.9
30,,103,127,185
60,,110,150,409.4
60,,106,134,343
60,,109,129,353.2
60,,109,138,374
30,,150,167,275.8
60,,105,128,328
60,,111,151,368.5
60,,97,131,270.4
60,,100,120,270.4
60,,114,150,382.8
30,,80,120,240.9
30,,85,120,250.4
45,,90,130,260.4
45,,95,130,270
45,,100,140,280.9
60,,105,140,290.8
60,,110,145,300
60,,115,145,310.2
75,,120,150,320.4
75,,125,150,330.4
